generation_type,file_url,bco_url,local_id,persistent_id,creation_time,file_format,data_type,mime_type,protein,gene,glycan,disease,anatomy,site_start_pos,site_end_pos,amino_acid_start,amino_acid_end,species,access_url
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_literature_mining_manually_verified.csv,https://biocomputeobject.org/GLY_000582/2.8.1,GLY_000582,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000582_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_carbbank.csv,https://biocomputeobject.org/GLY_001113/2.8.1,GLY_001113,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_001113_1
glygen_glycan_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_diabetes_glycomic.csv,https://biocomputeobject.org/GLY_000960/2.8.1,GLY_000960,,12/12/24,format:3752,ILX:0793825,text/csv,,,column:saccharide,,column:source_tissue_id,,,,,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000960_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_embl.csv,https://biocomputeobject.org/GLY_000888/2.8.1,GLY_000888,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000888_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_harvard.csv,https://biocomputeobject.org/GLY_000142/2.8.1,GLY_000142,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000142_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_literature.csv,https://biocomputeobject.org/GLY_000143/2.8.1,GLY_000143,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000143_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_pdb.csv,https://biocomputeobject.org/GLY_000042/2.8.1,GLY_000042,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000042_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_pdc_ccrcc.csv,https://biocomputeobject.org/GLY_000961/2.8.1,GLY_000961,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_000961_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/human_proteoform_glycosylation_sites_platelet.csv,https://biocomputeobject.org/GLY_001051/2.8.1,GLY_001051,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9606,drs://dsapi.glygen.org/drs/GLY_001051_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_protein_masterlist.csv,https://biocomputeobject.org/GLY_000007/2.8.1,GLY_000007,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000007_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_glyconnect.csv,https://biocomputeobject.org/GLY_000330/2.8.1,GLY_000330,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000330_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000039/2.8.1,GLY_000039,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000039_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_unicarbkb.csv,https://biocomputeobject.org/GLY_000041/2.8.1,GLY_000041,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000041_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_oglcnac_mcw.csv,https://biocomputeobject.org/GLY_000631/2.8.1,GLY_000631,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000631_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_oglcnac_atlas.csv,https://biocomputeobject.org/GLY_000709/2.8.1,GLY_000709,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000709_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_literature_mining.csv,https://biocomputeobject.org/GLY_000492/2.8.1,GLY_000492,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000492_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_literature_mining_manually_verified.csv,https://biocomputeobject.org/GLY_000583/2.8.1,GLY_000583,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000583_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_carbbank.csv,https://biocomputeobject.org/GLY_001114/2.8.1,GLY_001114,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_001114_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_embl.csv,https://biocomputeobject.org/GLY_000889/2.8.1,GLY_000889,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000889_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/mouse_proteoform_glycosylation_sites_pdb.csv,https://biocomputeobject.org/GLY_000043/2.8.1,GLY_000043,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10090,drs://dsapi.glygen.org/drs/GLY_000043_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_protein_masterlist.csv,https://biocomputeobject.org/GLY_000244/2.8.1,GLY_000244,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000244_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_glyconnect.csv,https://biocomputeobject.org/GLY_000331/2.8.1,GLY_000331,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000331_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000224/2.8.1,GLY_000224,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000224_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_unicarbkb.csv,https://biocomputeobject.org/GLY_000221/2.8.1,GLY_000221,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000221_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_oglcnac_mcw.csv,https://biocomputeobject.org/GLY_000632/2.8.1,GLY_000632,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000632_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_oglcnac_atlas.csv,https://biocomputeobject.org/GLY_000710/2.8.1,GLY_000710,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000710_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_literature_mining.csv,https://biocomputeobject.org/GLY_000493/2.8.1,GLY_000493,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000493_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_literature_mining_manually_verified.csv,https://biocomputeobject.org/GLY_000584/2.8.1,GLY_000584,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000584_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/rat_proteoform_glycosylation_sites_pdb.csv,https://biocomputeobject.org/GLY_000226/2.8.1,GLY_000226,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid10116,drs://dsapi.glygen.org/drs/GLY_000226_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/hcv1a_protein_masterlist.csv,https://biocomputeobject.org/GLY_000344/2.8.1,GLY_000344,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid11108,drs://dsapi.glygen.org/drs/GLY_000344_1
glygen_protein_glycan_mix_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/hcv1a_proteoform_glycosylation_sites_literature.csv,https://biocomputeobject.org/GLY_000335/2.8.1,GLY_000335,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid11108,drs://dsapi.glygen.org/drs/GLY_000335_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/hcv1a_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000382/2.8.1,GLY_000382,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid11108,drs://dsapi.glygen.org/drs/GLY_000382_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/hcv1b_protein_masterlist.csv,https://biocomputeobject.org/GLY_000345/2.8.1,GLY_000345,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid11116,drs://dsapi.glygen.org/drs/GLY_000345_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/hcv1b_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000383/2.8.1,GLY_000383,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid11116,drs://dsapi.glygen.org/drs/GLY_000383_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov1_protein_masterlist.csv,https://biocomputeobject.org/GLY_000467/2.8.1,GLY_000467,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid694009,drs://dsapi.glygen.org/drs/GLY_000467_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov1_proteoform_glycosylation_sites_literature.csv,https://biocomputeobject.org/GLY_000612/2.8.1,GLY_000612,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid694009,drs://dsapi.glygen.org/drs/GLY_000612_1
glygen_protein_glycan_mix_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov1_proteoform_glycosylation_sites_unicarbkb.csv,https://biocomputeobject.org/GLY_000628/2.8.1,GLY_000628,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid694009,drs://dsapi.glygen.org/drs/GLY_000628_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov2_protein_masterlist.csv,https://biocomputeobject.org/GLY_000434/2.8.1,GLY_000434,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid2697049,drs://dsapi.glygen.org/drs/GLY_000434_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov2_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000473/2.8.1,GLY_000473,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid2697049,drs://dsapi.glygen.org/drs/GLY_000473_1
glygen_protein_glycan_mix_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov2_proteoform_glycosylation_sites_unicarbkb.csv,https://biocomputeobject.org/GLY_000479/2.8.1,GLY_000479,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid2697049,drs://dsapi.glygen.org/drs/GLY_000479_1
glygen_protein_no_gene_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/sarscov2_proteoform_glycosylation_sites_glyconnect.csv,https://biocomputeobject.org/GLY_000530/2.8.1,GLY_000530,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid2697049,drs://dsapi.glygen.org/drs/GLY_000530_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/fruitfly_protein_masterlist.csv,https://biocomputeobject.org/GLY_000647/2.8.1,GLY_000647,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid7227,drs://dsapi.glygen.org/drs/GLY_000647_1
glygen_glycan_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/fruitfly_proteoform_glycosylation_sites_glyconnect.csv,https://biocomputeobject.org/GLY_000630/2.8.1,GLY_000630,,12/12/24,format:3752,ILX:0793825,text/csv,,,column:saccharide,,column:source_tissue_id,,,,,static:NCBI:txid7227,drs://dsapi.glygen.org/drs/GLY_000630_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/fruitfly_proteoform_glycosylation_sites_oglcnac_mcw.csv,https://biocomputeobject.org/GLY_000633/2.8.1,GLY_000633,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid7227,drs://dsapi.glygen.org/drs/GLY_000633_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/fruitfly_proteoform_glycosylation_sites_uniprotkb.csv,https://biocomputeobject.org/GLY_000681/2.8.1,GLY_000681,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid7227,drs://dsapi.glygen.org/drs/GLY_000681_1
glygen_protein_glycan_mix_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/fruitfly_proteoform_glycosylation_sites_oglcnac_atlas.csv,https://biocomputeobject.org/GLY_000711/2.8.1,GLY_000711,,12/12/24,format:3752,ILX:0793825,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,column:saccharide,,column:source_tissue_id,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid7227,drs://dsapi.glygen.org/drs/GLY_000711_1
glygen_protein_data,https://data.glygen.org/ln2data/releases/data/current/reviewed/chicken_protein_masterlist.csv,https://biocomputeobject.org/GLY_000998/2.8.1,GLY_000998,,12/12/24,format:3752,data:2764,text/csv,column:uniprotkb_canonical_ac,file:uniprotkb_canonical_ac:uniprotkb_canonical_ac2ensembl.csv,,,,column:start_aa,column:end_pos,column:start_pos,column:end_aa,static:NCBI:txid9031,drs://dsapi.glygen.org/drs/GLY_000998_1
